,keyword,count
1568,다양한,2
1569,매년,2
1570,돌싱,2
1571,자친구가,2
1572,주어지길,2
1573,펜션,2
1574,가구,2
1575,축하드리구,2
1576,갑,2
1577,점심시간,2
1578,싶네용,2
1579,땜시,2
1580,태항산,2
1581,포함,2
1582,발표,2
1583,주방,2
1584,팔,2
1585,장마,2
1586,아,2
1587,럼,2
1588,잠깐,2
1589,탈피,2
1590,피로,2
1591,친척,2
1592,소통,2
1593,뭔지,2
1594,다닐려,2
1595,죄,2
1596,저제,2
1597,둘리,2
1598,누굴,2
1599,순,2
1600,차박,2
1601,창피,2
1602,와이프랑,2
1603,녀,2
1604,살뜰,2
1605,넉넉,2
1606,동해안,2
1607,통,2
1608,세계적,2
1609,응모하,2
1610,학,2
1611,서러움,2
1612,틈,2
1613,평상시,2
1614,낚시,2
1615,장애아,2
1616,삼십년,2
1617,자녀들이,2
1618,자취,2
1619,대회,2
1620,고비,2
1621,요번,2
1622,색,2
1623,팩키지,2
1624,목소리,2
1625,인간들,2
1626,활,2
1627,거품,2
1628,창사,2
1629,뼈,2
1630,시골,2
1631,손실,2
1632,상품권,2
1633,의지,2
1634,가능한,2
1635,매진,2
1636,짝,2
1637,으로,2
1638,친구들이,2
1639,실현,2
1640,방영,2
1641,기력,2
1642,탑승,2
1643,었는데,2
1644,효과,2
1645,재수,2
1646,오십,2
1647,출국,2
1648,푸꿕,2
1649,편인데요,2
1650,딜,2
1651,만족한,2
1652,차이,2
1653,려,2
1654,되었답니,2
1655,일생,2
1656,단비,2
1657,렵니다,2
1658,오징어,2
1659,꿈꾸,2
1660,솔,2
1661,환상적,2
1662,였고,2
1663,꿈꿉니,2
1664,에메랄드빛,2
1665,슝,2
1666,운행,2
1667,힐링여행,2
1668,원동력,2
1669,공직,2
1670,동료,2
1671,부부동반,2
1672,해약,2
1673,천국,2
1674,여행가자,2
1675,저두,2
1676,시일,2
1677,어른,2
1678,주간,2
1679,헬프미,2
1680,팍팍한,2
1681,산책,2
